ResultID,WOID,MachineID,MachineName,ChecklistID,TaskNo,TaskDescription,TaskType,AcceptanceStandard,Mandatory,SafetyCritical,Result,MeasuredValue,Observation,TechID,RecordedDate,AbnormalityRaised
WO-00001-T11,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-02,2024-09-06,No
WO-00001-T12,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2024-09-06,No
WO-00001-T13,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,11.8,,TECH-02,2024-09-06,No
WO-00001-T14,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2024-09-06,No
WO-00002-T01,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2024-09-13,No
WO-00002-T02,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-01,2024-09-13,No
WO-00002-T03,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,3.48,,TECH-01,2024-09-13,No
WO-00002-T04,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-01,2024-09-13,No
WO-00002-T05,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-01,2024-09-13,No
WO-00002-T06,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,28.87,,TECH-01,2024-09-13,No
WO-00002-T07,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,55.2,,TECH-01,2024-09-13,No
WO-00002-T08,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,32.1,,TECH-01,2024-09-13,No
WO-00002-T09,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,3.88,,TECH-01,2024-09-13,No
WO-00002-T10,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,30.72,,TECH-01,2024-09-13,No
WO-00002-T11,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-01,2024-09-13,No
WO-00002-T12,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-01,2024-09-13,No
WO-00002-T13,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,51.15,,TECH-01,2024-09-13,No
WO-00002-T14,WO-00002,MC-002,CNC Lathe TL-02,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2024-09-13,No
WO-00003-T01,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2024-09-15,No
WO-00003-T02,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2024-09-15,No
WO-00003-T03,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,34.95,,TECH-03,2024-09-15,No
WO-00003-T04,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,Not OK,,Deviation observed - abnormality raised,TECH-03,2024-09-15,Yes
WO-00003-T05,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-03,2024-09-15,No
WO-00003-T06,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,2.86,,TECH-03,2024-09-15,No
WO-00003-T07,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,5.38,,TECH-03,2024-09-15,No
WO-00003-T08,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,39.61,,TECH-03,2024-09-15,No
WO-00003-T09,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,34.13,,TECH-03,2024-09-15,No
WO-00003-T10,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,Not OK,19.32,Deviation observed - abnormality raised,TECH-03,2024-09-15,Yes
WO-00003-T11,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-03,2024-09-15,No
WO-00003-T12,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2024-09-15,No
WO-00003-T13,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,16.02,,TECH-03,2024-09-15,No
WO-00003-T14,WO-00003,MC-003,CNC Lathe TL-03,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2024-09-15,No
WO-00004-T01,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2024-09-20,No
WO-00004-T02,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,2,General cleaning and housekeeping,Cleaning,No debris,Yes,No,OK,,,TECH-02,2024-09-20,No
WO-00004-T03,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,3,Belt / chain tension and alignment,Measurement,As per OEM,Yes,No,OK,18.35,,TECH-02,2024-09-20,No
WO-00004-T04,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,4,Bearing greasing as per lube chart,Lubrication,All points,Yes,No,OK,,,TECH-02,2024-09-20,No
WO-00004-T05,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,5,Motor current and vibration check,Measurement,"<= FLC, <= 4.5 mm/s",Yes,No,OK,19.31,,TECH-02,2024-09-20,No
WO-00004-T06,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,6,Air / oil filter condition,Visual,Clean or replace,Yes,No,OK,,,TECH-02,2024-09-20,No
WO-00004-T07,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,7,Condensate drain and moisture trap,Cleaning,Free draining,Yes,No,OK,,,TECH-02,2024-09-20,No
WO-00004-T08,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,8,Safety guard and E-stop check,Safety,Functional,Yes,Yes,OK,,,TECH-02,2024-09-20,No
WO-00004-T09,WO-00004,MC-004,Bar Feeder BF-01,CL-UTIL,9,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2024-09-20,No
WO-00005-T01,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2024-09-27,No
WO-00005-T02,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,2,General cleaning and housekeeping,Cleaning,No debris,Yes,No,OK,,,TECH-01,2024-09-27,No
WO-00005-T03,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,3,Belt / chain tension and alignment,Measurement,As per OEM,Yes,No,OK,13.18,,TECH-01,2024-09-27,No
WO-00005-T04,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,4,Bearing greasing as per lube chart,Lubrication,All points,Yes,No,OK,,,TECH-01,2024-09-27,No
WO-00005-T05,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,5,Motor current and vibration check,Measurement,"<= FLC, <= 4.5 mm/s",Yes,No,OK,16.28,,TECH-01,2024-09-27,No
WO-00005-T06,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,6,Air / oil filter condition,Visual,Clean or replace,Yes,No,OK,,,TECH-01,2024-09-27,No
WO-00005-T07,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,7,Condensate drain and moisture trap,Cleaning,Free draining,Yes,No,OK,,,TECH-01,2024-09-27,No
WO-00005-T08,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,8,Safety guard and E-stop check,Safety,Functional,Yes,Yes,OK,,,TECH-01,2024-09-27,No
WO-00005-T09,WO-00005,MC-005,Chip Conveyor CC-01,CL-UTIL,9,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2024-09-27,No
WO-00006-T01,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2025-01-05,No
WO-00006-T02,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-01,2025-01-05,No
WO-00006-T03,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,50.11,,TECH-01,2025-01-05,No
WO-00006-T04,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-01,2025-01-05,No
WO-00006-T05,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-01,2025-01-05,No
WO-00006-T06,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,42.36,,TECH-01,2025-01-05,No
WO-00006-T07,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,36.89,,TECH-01,2025-01-05,No
WO-00006-T08,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,59.24,,TECH-01,2025-01-05,No
WO-00006-T09,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,39.41,,TECH-01,2025-01-05,No
WO-00006-T10,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,0.97,,TECH-01,2025-01-05,No
WO-00006-T11,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-01,2025-01-05,No
WO-00006-T12,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-01,2025-01-05,No
WO-00006-T13,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,49.12,,TECH-01,2025-01-05,No
WO-00006-T14,WO-00006,MC-001,CNC Lathe TL-01,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2025-01-05,No
WO-00007-T01,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-01-09,No
WO-00007-T02,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2025-01-09,No
WO-00007-T03,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,33.42,,TECH-03,2025-01-09,No
WO-00007-T04,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-03,2025-01-09,No
WO-00007-T05,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-03,2025-01-09,No
WO-00007-T06,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,16.7,,TECH-03,2025-01-09,No
WO-00007-T07,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,36.49,,TECH-03,2025-01-09,No
WO-00007-T08,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,43.2,,TECH-03,2025-01-09,No
WO-00007-T09,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,12.61,,TECH-03,2025-01-09,No
WO-00007-T10,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,38.24,,TECH-03,2025-01-09,No
WO-00007-T11,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-03,2025-01-09,No
WO-00007-T12,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,Not OK,,Deviation observed - abnormality raised,TECH-03,2025-01-09,Yes
WO-00007-T13,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,16.21,,TECH-03,2025-01-09,No
WO-00007-T14,WO-00007,MC-002,CNC Lathe TL-02,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-01-09,No
WO-00008-T01,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2025-02-01,No
WO-00008-T02,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2025-02-01,No
WO-00008-T03,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,16.96,,TECH-02,2025-02-01,No
WO-00008-T04,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-02,2025-02-01,No
WO-00008-T05,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-02,2025-02-01,No
WO-00008-T06,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,0.71,,TECH-02,2025-02-01,No
WO-00008-T07,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,46.38,,TECH-02,2025-02-01,No
WO-00008-T08,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,38.41,,TECH-02,2025-02-01,No
WO-00008-T09,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,16.09,,TECH-02,2025-02-01,No
WO-00008-T10,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,44.6,,TECH-02,2025-02-01,No
WO-00008-T11,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-02,2025-02-01,No
WO-00008-T12,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-02,2025-02-01,No
WO-00008-T13,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,33.32,,TECH-02,2025-02-01,No
WO-00008-T14,WO-00008,MC-003,CNC Lathe TL-03,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-02,2025-02-01,No
WO-00009-T01,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-01,2025-01-20,No
WO-00009-T02,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,2,General cleaning and housekeeping,Cleaning,No debris,Yes,No,OK,,,TECH-01,2025-01-20,No
WO-00009-T03,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,3,Belt / chain tension and alignment,Measurement,As per OEM,Yes,No,OK,9.37,,TECH-01,2025-01-20,No
WO-00009-T04,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,4,Bearing greasing as per lube chart,Lubrication,All points,Yes,No,OK,,,TECH-01,2025-01-20,No
WO-00009-T05,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,5,Motor current and vibration check,Measurement,"<= FLC, <= 4.5 mm/s",Yes,No,OK,2.64,,TECH-01,2025-01-20,No
WO-00009-T06,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,6,Air / oil filter condition,Visual,Clean or replace,Yes,No,OK,,,TECH-01,2025-01-20,No
WO-00009-T07,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,7,Condensate drain and moisture trap,Cleaning,Free draining,Yes,No,OK,,,TECH-01,2025-01-20,No
WO-00009-T08,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,8,Safety guard and E-stop check,Safety,Functional,Yes,Yes,OK,,,TECH-01,2025-01-20,No
WO-00009-T09,WO-00009,MC-004,Bar Feeder BF-01,CL-UTIL,9,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-01,2025-01-20,No
WO-00010-T01,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-01-29,No
WO-00010-T02,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,2,General cleaning and housekeeping,Cleaning,No debris,Yes,No,OK,,,TECH-03,2025-01-29,No
WO-00010-T03,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,3,Belt / chain tension and alignment,Measurement,As per OEM,Yes,No,OK,53.99,,TECH-03,2025-01-29,No
WO-00010-T04,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,4,Bearing greasing as per lube chart,Lubrication,All points,Yes,No,OK,,,TECH-03,2025-01-29,No
WO-00010-T05,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,5,Motor current and vibration check,Measurement,"<= FLC, <= 4.5 mm/s",Yes,No,OK,47.87,,TECH-03,2025-01-29,No
WO-00010-T06,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,6,Air / oil filter condition,Visual,Clean or replace,Yes,No,OK,,,TECH-03,2025-01-29,No
WO-00010-T07,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,7,Condensate drain and moisture trap,Cleaning,Free draining,Yes,No,OK,,,TECH-03,2025-01-29,No
WO-00010-T08,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,8,Safety guard and E-stop check,Safety,Functional,Yes,Yes,OK,,,TECH-03,2025-01-29,No
WO-00010-T09,WO-00010,MC-005,Chip Conveyor CC-01,CL-UTIL,9,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-01-29,No
WO-00011-T01,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-03,2025-04-03,No
WO-00011-T02,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-03,2025-04-03,No
WO-00011-T03,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,33.81,,TECH-03,2025-04-03,No
WO-00011-T04,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-03,2025-04-03,No
WO-00011-T05,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-03,2025-04-03,No
WO-00011-T06,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,52.55,,TECH-03,2025-04-03,No
WO-00011-T07,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,58.44,,TECH-03,2025-04-03,No
WO-00011-T08,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,OK,45.09,,TECH-03,2025-04-03,No
WO-00011-T09,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,55.58,,TECH-03,2025-04-03,No
WO-00011-T10,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,14.59,,TECH-03,2025-04-03,No
WO-00011-T11,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,OK,,,TECH-03,2025-04-03,No
WO-00011-T12,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,OK,,,TECH-03,2025-04-03,No
WO-00011-T13,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,OK,10.17,,TECH-03,2025-04-03,No
WO-00011-T14,WO-00011,MC-001,CNC Lathe TL-01,CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,OK,,,TECH-03,2025-04-03,No
WO-00012-T01,WO-00012,MC-002,CNC Lathe TL-02,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2025-04-09,No
WO-00012-T02,WO-00012,MC-002,CNC Lathe TL-02,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2025-04-09,No
WO-00012-T03,WO-00012,MC-002,CNC Lathe TL-02,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,55.88,,TECH-02,2025-04-09,No
WO-00012-T04,WO-00012,MC-002,CNC Lathe TL-02,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-02,2025-04-09,No
