MachineID,MachineName,CellID,MachineType,Make,Model,SerialNo,InstallDate,Criticality,Location,ChecklistID,PMStdMinutes,QRPayload,Active
MC-018,HT Compressor AC-01,CELL-04,Air Compressor,Atlas Copco,GA55,SN20150018,2015-07-19,A,CELL-04 / Bay 2,CL-UTIL,120,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-018,Yes
MC-019,Assembly Stn AS-01,CELL-05,Assembly Station,In-house,ASSY-1,SN20160019,2016-12-26,B,CELL-05 / Bay 3,CL-ASSY,90,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-019,Yes
MC-020,Assembly Stn AS-02,CELL-05,Assembly Station,In-house,ASSY-1,SN20170020,2017-05-06,B,CELL-05 / Bay 4,CL-ASSY,90,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-020,Yes
MC-021,Assembly Stn AS-03,CELL-05,Assembly Station,In-house,ASSY-2,SN20180021,2018-10-13,B,CELL-05 / Bay 1,CL-ASSY,90,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-021,Yes
MC-022,Leak Test Rig LT-01,CELL-05,Leak Test Rig,ATEQ,F620,SN20190022,2019-03-20,A,CELL-05 / Bay 2,CL-ASSY,110,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-022,Yes
MC-023,Assy Conveyor CV-01,CELL-05,Conveyor System,Interroll,IR-2000,SN20200023,2020-08-27,C,CELL-05 / Bay 3,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-023,Yes
MC-024,Paint Booth PB-01,CELL-06,Paint Booth,Nordson,NB-4,SN20210024,2021-01-07,A,CELL-06 / Bay 4,CL-PAINT,200,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-024,Yes
MC-025,Curing Oven CO-01,CELL-06,Curing Oven,Eisenmann,CO-12,SN20220025,2022-06-14,B,CELL-06 / Bay 1,CL-PAINT,160,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-025,Yes
MC-026,Paint Chiller CH-02,CELL-06,Chiller Unit,Blue Star,BS-30TR,SN20230026,2023-11-21,C,CELL-06 / Bay 2,CL-UTIL,130,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-026,Yes
MC-027,Robot Weld Cell RW-01,CELL-07,Robotic Welding Cell,Fanuc,ARC Mate 120,SN20150027,2015-04-01,A,CELL-07 / Bay 3,CL-WELD,190,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-027,Yes
MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Cell,Fanuc,ARC Mate 120,SN20160028,2016-09-08,A,CELL-07 / Bay 4,CL-WELD,190,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-028,Yes
MC-029,Positioner PZ-01,CELL-07,Conveyor System,Fanuc,2AX-500,SN20170029,2017-02-15,C,CELL-07 / Bay 1,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-029,Yes
MC-030,Weld Compressor AC-02,CELL-07,Air Compressor,Elgi,EG37,SN20180030,2018-07-22,B,CELL-07 / Bay 2,CL-UTIL,120,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-030,Yes
MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,Schuler,MSD-250,SN20190031,2019-12-02,A,CELL-08 / Bay 3,CL-PRESS,175,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-031,Yes
MC-032,Hyd Press HP-02,CELL-08,Hydraulic Press,Schuler,MSD-160,SN20200032,2020-05-09,B,CELL-08 / Bay 4,CL-PRESS,175,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-032,Yes
MC-033,Press Feeder PF-01,CELL-08,Conveyor System,Bruderer,BSV-75,SN20210033,2021-10-16,C,CELL-08 / Bay 1,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-033,Yes
