ReplacementID,SourceType,SourceID,RequestID,MachineID,MachineName,CellID,MachineType,PartNo,PartName,Category,UOM,QtyReplaced,UnitCostINR,TotalCostINR,ReplacedByTechID,ReplacedByName,ReplacedDate,OldPartCondition,WarrantyClaim,Remarks
REP-00025,PM,WO-00209,REQ-00040,MC-023,Assy Conveyor CV-01,CELL-05,Conveyor System,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-10,Naveen Raj,2026-06-23,Leaking,No,Old part scrapped - tag 64257
REP-00026,PM,WO-00221,REQ-00041,MC-025,Curing Oven CO-01,CELL-06,Curing Oven,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-09,Sathish Kumar,2025-04-15,End of life,Yes,Old part scrapped - tag 85680
REP-00027,PM,WO-00233,REQ-00044,MC-027,Robot Weld Cell RW-01,CELL-07,Robotic Welding Cell,SP-1060,Welding contact tip 1.2 mm,Consumable,No,2,120,240,TECH-09,Sathish Kumar,2025-07-05,Seized,No,Old part scrapped - tag 49666
REP-00028,PM,WO-00234,REQ-00045,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Cell,SP-1061,Welding nozzle 16 mm,Consumable,No,2,480,960,TECH-08,Karthik V,2025-07-16,Worn out,No,Old part scrapped - tag 13268
REP-00029,PM,WO-00239,REQ-00047,MC-029,Positioner PZ-01,CELL-07,Conveyor System,SP-1085,Drive motor 2.2 kW,Motor,No,1,18900,18900,TECH-08,Karthik V,2025-12-19,Seized,No,Old part scrapped - tag 78464
REP-00030,PM,WO-00243,REQ-00049,MC-029,Positioner PZ-01,CELL-07,Conveyor System,SP-1086,Gear reducer 1:30,Mechanical,No,3,24600,73800,TECH-09,Sathish Kumar,2026-06-19,Broken,No,Old part scrapped - tag 35237
REP-00031,PM,WO-00253,REQ-00051,MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,SP-1070,Hydraulic return filter element,Filter,No,2,3900,7800,TECH-08,Karthik V,2025-08-06,End of life,No,Old part scrapped - tag 51744
REP-00032,PM,WO-00254,REQ-00052,MC-032,Hyd Press HP-02,CELL-08,Hydraulic Press,SP-1072,Hydraulic hose 1 inch x 2 mtr,Hydraulic,No,3,4800,14400,TECH-04,Vignesh S,2025-08-20,Leaking,No,Old part scrapped - tag 54399
REP-00033,Breakdown,BD-00007,REQ-00054,MC-001,CNC Lathe TL-01,CELL-01,CNC Turning Center,SP-1004,Hydraulic solenoid valve 4/3,Hydraulic,No,2,8600,17200,TECH-03,Mohammed Rafi,2026-02-24,Leaking,No,Old part scrapped - tag 35971
REP-00034,Breakdown,BD-00012,REQ-00055,MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Center,SP-1004,Hydraulic solenoid valve 4/3,Hydraulic,No,1,8600,8600,TECH-03,Mohammed Rafi,2025-01-17,Worn out,No,Old part scrapped - tag 99715
REP-00035,Breakdown,BD-00020,REQ-00056,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Center,SP-1002,Way wiper kit X/Z,Seal,Kit,2,2400,4800,TECH-01,Arun Kumar,2026-05-29,Broken,No,Old part scrapped - tag 97186
REP-00036,Breakdown,BD-00024,REQ-00057,MC-004,Bar Feeder BF-01,CELL-01,Conveyor System,SP-1086,Gear reducer 1:30,Mechanical,No,2,24600,49200,TECH-03,Mohammed Rafi,2026-05-12,Worn out,No,Old part scrapped - tag 70455
REP-00037,Breakdown,BD-00025,REQ-00058,MC-005,Chip Conveyor CC-01,CELL-01,Conveyor System,SP-1086,Gear reducer 1:30,Mechanical,No,1,24600,24600,TECH-03,Mohammed Rafi,2025-06-11,Seized,No,Old part scrapped - tag 24022
REP-00038,Breakdown,BD-00034,REQ-00060,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Center,SP-1002,Way wiper kit X/Z,Seal,Kit,2,2400,4800,TECH-01,Arun Kumar,2024-10-07,Leaking,Yes,Old part scrapped - tag 87459
REP-00039,Breakdown,BD-00039,REQ-00061,MC-008,VMC MC-01,CELL-02,CNC Machining Center,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-01,Arun Kumar,2025-01-05,Broken,Yes,Old part scrapped - tag 97766
REP-00040,Breakdown,BD-00041,REQ-00062,MC-008,VMC MC-01,CELL-02,CNC Machining Center,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-03,Mohammed Rafi,2026-02-13,Worn out,No,Old part scrapped - tag 33091
REP-00041,Breakdown,BD-00046,REQ-00063,MC-009,VMC MC-02,CELL-02,CNC Machining Center,SP-1010,ATC cam follower,Mechanical,No,2,5400,10800,TECH-03,Mohammed Rafi,2024-12-18,Preventive replacement,No,Old part scrapped - tag 21866
REP-00042,Breakdown,BD-00052,REQ-00065,MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-01,Arun Kumar,2025-06-18,Preventive replacement,No,Old part scrapped - tag 66980
REP-00043,Breakdown,BD-00053,REQ-00066,MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,SP-1020,Hob spindle bearing,Bearing,No,2,22400,44800,TECH-01,Arun Kumar,2026-05-22,Worn out,No,Old part scrapped - tag 81943
REP-00044,Breakdown,BD-00054,REQ-00067,MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,SP-1022,Timing belt HTD 8M,Belt,No,1,3600,3600,TECH-01,Arun Kumar,2026-06-22,Seized,No,Old part scrapped - tag 61677
REP-00045,Breakdown,BD-00061,REQ-00068,MC-011,Gear Hobber GH-02,CELL-03,Gear Hobbing Machine,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-02,Suresh Babu,2025-11-28,Seized,Yes,Old part scrapped - tag 82800
REP-00046,Breakdown,BD-00069,REQ-00071,MC-013,Deburring Unit DB-01,CELL-03,Conveyor System,SP-1085,Drive motor 2.2 kW,Motor,No,2,18900,37800,TECH-02,Suresh Babu,2024-11-28,End of life,No,Old part scrapped - tag 91690
REP-00047,Breakdown,BD-00071,REQ-00072,MC-013,Deburring Unit DB-01,CELL-03,Conveyor System,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-03,Mohammed Rafi,2025-04-08,Broken,Yes,Old part scrapped - tag 89242
REP-00048,Breakdown,BD-00072,REQ-00073,MC-014,Sealed Quench SQ-01,CELL-04,Sealed Quench Furnace,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-02,Suresh Babu,2024-09-18,End of life,No,Old part scrapped - tag 14963
REP-00049,Breakdown,BD-00074,REQ-00074,MC-014,Sealed Quench SQ-01,CELL-04,Sealed Quench Furnace,SP-1030,Radiant tube 150 mm,Furnace,No,2,74000,148000,TECH-05,Prakash R,2025-01-05,Preventive replacement,No,Old part scrapped - tag 46624
REP-00050,Breakdown,BD-00079,REQ-00077,MC-014,Sealed Quench SQ-01,CELL-04,Sealed Quench Furnace,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-02,Suresh Babu,2026-05-19,End of life,No,Old part scrapped - tag 85230
REP-00051,Breakdown,BD-00083,REQ-00078,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-05,Prakash R,2025-05-30,Preventive replacement,No,Old part scrapped - tag 83886
REP-00052,Breakdown,BD-00084,REQ-00079,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1033,Quench agitator seal kit,Seal,Kit,2,6800,13600,TECH-02,Suresh Babu,2025-07-01,Preventive replacement,No,Old part scrapped - tag 47593
REP-00053,Breakdown,BD-00085,REQ-00080,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1034,Carbon potential probe,Instrument,No,2,58000,116000,TECH-06,Deepak Nair,2026-01-23,End of life,Yes,Old part scrapped - tag 43679
REP-00054,Breakdown,BD-00088,REQ-00081,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1034,Carbon potential probe,Instrument,No,1,58000,58000,TECH-06,Deepak Nair,2026-05-02,Leaking,No,Old part scrapped - tag 44242
REP-00055,Breakdown,BD-00101,REQ-00084,MC-017,Quench Oil Chiller CH-01,CELL-04,Chiller Unit,SP-1083,Chiller expansion valve,Chiller,No,1,13400,13400,TECH-02,Suresh Babu,2024-11-09,Leaking,No,Old part scrapped - tag 25203
REP-00056,Breakdown,BD-00102,REQ-00085,MC-017,Quench Oil Chiller CH-01,CELL-04,Chiller Unit,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-06,Deepak Nair,2025-08-01,Broken,No,Old part scrapped - tag 61127
REP-00057,Breakdown,BD-00105,REQ-00086,MC-017,Quench Oil Chiller CH-01,CELL-04,Chiller Unit,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-05,Prakash R,2026-07-08,Leaking,No,Old part scrapped - tag 99505
REP-00058,Breakdown,BD-00123,REQ-00090,MC-020,Assembly Stn AS-02,CELL-05,Assembly Station,SP-1041,Poka-yoke proximity sensor,Electrical,No,2,2200,4400,TECH-10,Naveen Raj,2025-08-12,Worn out,Yes,Old part scrapped - tag 22805
REP-00059,Breakdown,BD-00127,REQ-00091,MC-021,Assembly Stn AS-03,CELL-05,Assembly Station,SP-1042,Fixture clamp cylinder,Pneumatic,No,1,7400,7400,TECH-10,Naveen Raj,2026-04-17,Worn out,Yes,Old part scrapped - tag 22050
REP-00060,Breakdown,BD-00134,REQ-00093,MC-022,Leak Test Rig LT-01,CELL-05,Leak Test Rig,SP-1043,Leak test seal head,Seal,No,1,11200,11200,TECH-07,Ramesh Chandran,2025-10-18,Broken,Yes,Old part scrapped - tag 71204
REP-00061,Breakdown,BD-00149,REQ-00097,MC-025,Curing Oven CO-01,CELL-06,Curing Oven,SP-1053,Oven conveyor chain 3 mtr,Chain,Mtr,2,2800,5600,TECH-09,Sathish Kumar,2025-03-25,Worn out,Yes,Old part scrapped - tag 66525
REP-00062,Breakdown,BD-00164,REQ-00100,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Cell,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-08,Karthik V,2025-01-28,Leaking,Yes,Old part scrapped - tag 53231
REP-00063,Breakdown,BD-00169,REQ-00104,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Cell,SP-1062,Wire feed roller set,Mechanical,Set,2,3400,6800,TECH-08,Karthik V,2026-02-14,Leaking,Yes,Old part scrapped - tag 70245
REP-00064,Breakdown,BD-00170,REQ-00105,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Cell,SP-1061,Welding nozzle 16 mm,Consumable,No,2,480,960,TECH-09,Sathish Kumar,2026-05-27,Leaking,No,Old part scrapped - tag 23994
REP-00065,Breakdown,BD-00175,REQ-00107,MC-030,Weld Compressor AC-02,CELL-07,Air Compressor,SP-1081,Compressor air/oil separator,Filter,No,1,9600,9600,TECH-09,Sathish Kumar,2024-10-16,Leaking,No,Old part scrapped - tag 68891
REP-00066,Breakdown,BD-00176,REQ-00108,MC-030,Weld Compressor AC-02,CELL-07,Air Compressor,SP-1080,V-belt SPB 2500,Belt,No,1,1400,1400,TECH-08,Karthik V,2025-01-21,Broken,No,Old part scrapped - tag 97466
REP-00067,Breakdown,BD-00181,REQ-00111,MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,SP-1071,Ram gib liner,Mechanical,No,1,21000,21000,TECH-04,Vignesh S,2024-12-23,Seized,No,Old part scrapped - tag 87469
REP-00068,Breakdown,BD-00184,REQ-00112,MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,SP-1070,Hydraulic return filter element,Filter,No,1,3900,3900,TECH-09,Sathish Kumar,2025-06-18,Seized,No,Old part scrapped - tag 98918
REP-00069,Breakdown,BD-00186,REQ-00113,MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-04,Vignesh S,2026-01-05,End of life,Yes,Old part scrapped - tag 18286
REP-00070,Breakdown,BD-00189,REQ-00114,MC-031,Hyd Press HP-01,CELL-08,Hydraulic Press,SP-1073,Brake friction disc,Mechanical,No,1,27500,27500,TECH-09,Sathish Kumar,2026-08-04,Seized,Yes,Old part scrapped - tag 86282
REP-00071,Breakdown,BD-00190,REQ-00115,MC-032,Hyd Press HP-02,CELL-08,Hydraulic Press,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-09,Sathish Kumar,2024-11-27,Worn out,Yes,Old part scrapped - tag 33516
REP-00072,Breakdown,BD-00195,REQ-00117,MC-032,Hyd Press HP-02,CELL-08,Hydraulic Press,SP-1071,Ram gib liner,Mechanical,No,2,21000,42000,TECH-08,Karthik V,2026-08-13,Seized,Yes,Old part scrapped - tag 32878
