RequestID,SourceType,SourceID,MachineID,MachineName,CellID,PartNo,PartName,Category,UOM,QtyRequested,UnitCostINR,TotalCostINR,RequestedByTechID,RequestedByName,RequestDate,Urgency,Status,ApprovedDate,ApprovedBy,IssuedDate,LeadTimeDays,StoreBin,RejectionReason
REQ-00011,PM,WO-00035,MC-005,Chip Conveyor CC-01,CELL-01,SP-1086,Gear reducer 1:30,Mechanical,No,3,24600,73800,TECH-01,Arun Kumar,2026-05-26,Planned,Issued,2026-05-28,Maintenance Head,2026-05-31,45,E-03-05,
REQ-00012,PM,WO-00064,MC-006,CNC Lathe TL-04,CELL-02,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-02,Suresh Babu,2025-06-05,Planned,Issued,2025-06-06,Maintenance Head,2025-06-07,30,A-02-01,
REQ-00013,PM,WO-00066,MC-008,VMC MC-01,CELL-02,SP-1012,Spindle chiller compressor,Chiller,No,1,46000,46000,TECH-03,Mohammed Rafi,2025-06-18,Planned,Approved,2025-06-19,Maintenance Head,,60,B-01-01,
REQ-00014,PM,WO-00069,MC-007,CNC Lathe TL-05,CELL-02,SP-1002,Way wiper kit X/Z,Seal,Kit,3,2400,7200,TECH-02,Suresh Babu,2025-09-10,Planned,Issued,2025-09-10,Maintenance Head,2025-09-11,21,A-01-05,
REQ-00015,PM,WO-00092,MC-010,Gear Hobber GH-01,CELL-03,SP-1020,Hob spindle bearing,Bearing,No,1,22400,22400,TECH-03,Mohammed Rafi,2024-10-09,Planned,Issued,2024-10-09,Maintenance Head,2024-10-13,50,A-01-09,
REQ-00016,PM,WO-00096,MC-010,Gear Hobber GH-01,CELL-03,SP-1022,Timing belt HTD 8M,Belt,No,1,3600,3600,TECH-01,Arun Kumar,2025-04-02,Planned,Issued,2025-04-05,Maintenance Head,2025-04-06,18,A-04-02,
REQ-00017,PM,WO-00101,MC-011,Gear Hobber GH-02,CELL-03,SP-1021,Index table oil seal,Seal,No,1,1800,1800,TECH-01,Arun Kumar,2025-08-13,Planned,Issued,2025-08-13,Maintenance Head,2025-08-15,15,A-01-11,
REQ-00018,PM,WO-00104,MC-010,Gear Hobber GH-01,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-03,Mohammed Rafi,2026-02-04,Planned,Approved,2026-02-07,Maintenance Head,,7,E-04-01,
REQ-00019,PM,WO-00126,MC-015,Sealed Quench SQ-02,CELL-04,SP-1033,Quench agitator seal kit,Seal,Kit,1,6800,6800,TECH-06,Deepak Nair,2025-02-10,Planned,Issued,2025-02-10,Maintenance Head,2025-02-11,35,B-02-07,
REQ-00020,PM,WO-00130,MC-014,Sealed Quench SQ-01,CELL-04,SP-1033,Quench agitator seal kit,Seal,Kit,2,6800,13600,TECH-06,Deepak Nair,2025-06-02,Planned,Issued,2025-06-04,Maintenance Head,2025-06-06,35,B-02-07,
REQ-00021,PM,WO-00132,MC-016,Tempering Furnace TF-01,CELL-04,SP-1035,Burner ignition electrode,Furnace,No,3,5600,16800,TECH-02,Suresh Babu,2025-05-15,Planned,Issued,2025-05-18,Maintenance Head,2025-05-18,30,B-03-01,
REQ-00022,PM,WO-00136,MC-015,Sealed Quench SQ-02,CELL-04,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-02,Suresh Babu,2025-07-12,Planned,Issued,2025-07-13,Maintenance Head,2025-07-16,14,B-02-05,
REQ-00023,PM,WO-00138,MC-017,Quench Oil Chiller CH-01,CELL-04,SP-1083,Chiller expansion valve,Chiller,No,2,13400,26800,TECH-05,Prakash R,2025-07-23,Planned,Approved,2025-07-23,Maintenance Head,,40,E-02-01,
REQ-00024,PM,WO-00139,MC-018,HT Compressor AC-01,CELL-04,SP-1082,Compressor oil 20 L,Lubricant,Can,2,7200,14400,TECH-02,Suresh Babu,2025-07-27,Planned,Issued,2025-07-30,Maintenance Head,2025-08-04,12,E-01-05,
REQ-00025,PM,WO-00146,MC-015,Sealed Quench SQ-02,CELL-04,SP-1031,K-type thermocouple 1200 mm,Instrument,No,1,4200,4200,TECH-05,Prakash R,2026-01-09,Planned,Pending Approval,,,,20,B-02-03,
REQ-00026,PM,WO-00147,MC-016,Tempering Furnace TF-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-02,Suresh Babu,2026-01-14,Planned,Issued,2026-01-15,Maintenance Head,2026-01-15,7,E-04-01,
REQ-00027,PM,WO-00149,MC-018,HT Compressor AC-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-05,Prakash R,2026-01-27,Planned,Purchase Raised,2026-01-27,Maintenance Head,,7,E-04-01,
REQ-00028,PM,WO-00151,MC-015,Sealed Quench SQ-02,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-02,Suresh Babu,2026-05-04,Planned,Issued,2026-05-07,Maintenance Head,2026-05-10,7,E-04-01,
REQ-00029,PM,WO-00152,MC-016,Tempering Furnace TF-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-06,Deepak Nair,2026-04-15,Planned,Issued,2026-04-16,Maintenance Head,2026-04-16,7,E-04-01,
REQ-00030,PM,WO-00154,MC-018,HT Compressor AC-01,CELL-04,SP-1082,Compressor oil 20 L,Lubricant,Can,1,7200,7200,TECH-02,Suresh Babu,2026-04-29,Planned,Issued,2026-04-29,Maintenance Head,2026-04-29,12,E-01-05,
REQ-00031,PM,WO-00156,MC-015,Sealed Quench SQ-02,CELL-04,SP-1034,Carbon potential probe,Instrument,No,2,58000,116000,TECH-06,Deepak Nair,2026-07-11,Planned,Approved,2026-07-12,Maintenance Head,,90,B-02-09,
REQ-00032,PM,WO-00159,MC-018,HT Compressor AC-01,CELL-04,SP-1082,Compressor oil 20 L,Lubricant,Can,2,7200,14400,TECH-06,Deepak Nair,2026-07-30,Planned,Issued,2026-08-02,Maintenance Head,2026-08-02,12,E-01-05,
REQ-00033,PM,WO-00185,MC-019,Assembly Stn AS-01,CELL-05,SP-1040,Torque transducer 30 Nm,Instrument,No,1,32000,32000,TECH-10,Naveen Raj,2024-11-08,Planned,Approved,2024-11-10,Maintenance Head,,55,C-01-01,
REQ-00034,PM,WO-00190,MC-019,Assembly Stn AS-01,CELL-05,SP-1040,Torque transducer 30 Nm,Instrument,No,3,32000,96000,TECH-07,Ramesh Chandran,2025-04-06,Planned,Issued,2025-04-08,Maintenance Head,2025-04-11,55,C-01-01,
REQ-00035,PM,WO-00194,MC-023,Assy Conveyor CV-01,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-07,Ramesh Chandran,2025-04-24,Planned,Issued,2025-04-27,Maintenance Head,2025-04-30,7,E-04-01,
REQ-00036,PM,WO-00197,MC-021,Assembly Stn AS-03,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-10,Naveen Raj,2025-08-16,Planned,Approved,2025-08-16,Maintenance Head,,7,E-04-01,
REQ-00037,PM,WO-00202,MC-021,Assembly Stn AS-03,CELL-05,SP-1041,Poka-yoke proximity sensor,Electrical,No,3,2200,6600,TECH-07,Ramesh Chandran,2026-01-16,Planned,Issued,2026-01-17,Maintenance Head,2026-01-22,12,C-01-03,
REQ-00038,PM,WO-00203,MC-022,Leak Test Rig LT-01,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-07,Ramesh Chandran,2026-02-01,Planned,Pending Approval,,,,7,E-04-01,
REQ-00039,PM,WO-00204,MC-023,Assy Conveyor CV-01,CELL-05,SP-1084,Conveyor roller 50 mm,Mechanical,No,2,1100,2200,TECH-07,Ramesh Chandran,2026-01-28,Planned,Pending Approval,,,,12,E-03-01,
REQ-00040,PM,WO-00209,MC-023,Assy Conveyor CV-01,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-10,Naveen Raj,2026-06-23,Planned,Issued,2026-06-26,Maintenance Head,2026-06-30,7,E-04-01,
REQ-00041,PM,WO-00221,MC-025,Curing Oven CO-01,CELL-06,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-09,Sathish Kumar,2025-04-15,Planned,Issued,2025-04-17,Maintenance Head,2025-04-21,7,E-04-01,
REQ-00042,PM,WO-00230,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1062,Wire feed roller set,Mechanical,Set,1,3400,3400,TECH-04,Vignesh S,2025-01-14,Planned,Rejected,,,,18,D-01-05,Alternate part available in store
REQ-00043,PM,WO-00232,MC-030,Weld Compressor AC-02,CELL-07,SP-1082,Compressor oil 20 L,Lubricant,Can,1,7200,7200,TECH-08,Karthik V,2025-01-26,Planned,Approved,2025-01-28,Maintenance Head,,12,E-01-05,
REQ-00044,PM,WO-00233,MC-027,Robot Weld Cell RW-01,CELL-07,SP-1060,Welding contact tip 1.2 mm,Consumable,No,2,120,240,TECH-09,Sathish Kumar,2025-07-05,Planned,Issued,2025-07-06,Maintenance Head,2025-07-08,7,D-01-01,
REQ-00045,PM,WO-00234,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1061,Welding nozzle 16 mm,Consumable,No,2,480,960,TECH-08,Karthik V,2025-07-16,Planned,Issued,2025-07-16,Maintenance Head,2025-07-17,10,D-01-03,
REQ-00046,PM,WO-00237,MC-027,Robot Weld Cell RW-01,CELL-07,SP-1063,Robot axis battery pack,Electrical,No,2,2600,5200,TECH-04,Vignesh S,2025-12-03,Planned,Approved,2025-12-05,Maintenance Head,,15,D-01-07,
REQ-00047,PM,WO-00239,MC-029,Positioner PZ-01,CELL-07,SP-1085,Drive motor 2.2 kW,Motor,No,1,18900,18900,TECH-08,Karthik V,2025-12-19,Planned,Issued,2025-12-19,Maintenance Head,2025-12-22,32,E-03-03,
REQ-00048,PM,WO-00240,MC-030,Weld Compressor AC-02,CELL-07,SP-1080,V-belt SPB 2500,Belt,No,2,1400,2800,TECH-04,Vignesh S,2025-12-23,Planned,Approved,2025-12-23,Maintenance Head,,10,E-01-01,
REQ-00049,PM,WO-00243,MC-029,Positioner PZ-01,CELL-07,SP-1086,Gear reducer 1:30,Mechanical,No,3,24600,73800,TECH-09,Sathish Kumar,2026-06-19,Planned,Issued,2026-06-21,Maintenance Head,2026-06-26,45,E-03-05,
REQ-00050,PM,WO-00244,MC-030,Weld Compressor AC-02,CELL-07,SP-1082,Compressor oil 20 L,Lubricant,Can,3,7200,21600,TECH-08,Karthik V,2026-06-26,Planned,Pending Approval,,,,12,E-01-05,
REQ-00051,PM,WO-00253,MC-031,Hyd Press HP-01,CELL-08,SP-1070,Hydraulic return filter element,Filter,No,2,3900,7800,TECH-08,Karthik V,2025-08-06,Planned,Issued,2025-08-06,Maintenance Head,2025-08-07,16,D-02-01,
REQ-00052,PM,WO-00254,MC-032,Hyd Press HP-02,CELL-08,SP-1072,Hydraulic hose 1 inch x 2 mtr,Hydraulic,No,3,4800,14400,TECH-04,Vignesh S,2025-08-20,Planned,Issued,2025-08-21,Maintenance Head,2025-08-21,14,D-02-05,
REQ-00053,Breakdown,BD-00006,MC-001,CNC Lathe TL-01,CELL-01,SP-1004,Hydraulic solenoid valve 4/3,Hydraulic,No,1,8600,8600,TECH-01,Arun Kumar,2026-01-29,Emergency,Purchase Raised,2026-01-29,Maintenance Head,,25,A-02-04,
REQ-00054,Breakdown,BD-00007,MC-001,CNC Lathe TL-01,CELL-01,SP-1004,Hydraulic solenoid valve 4/3,Hydraulic,No,2,8600,17200,TECH-03,Mohammed Rafi,2026-02-23,Emergency,Issued,2026-02-26,Maintenance Head,2026-03-02,25,A-02-04,
REQ-00055,Breakdown,BD-00012,MC-002,CNC Lathe TL-02,CELL-01,SP-1004,Hydraulic solenoid valve 4/3,Hydraulic,No,1,8600,8600,TECH-03,Mohammed Rafi,2025-01-16,Urgent,Issued,2025-01-16,Maintenance Head,2025-01-21,25,A-02-04,
REQ-00056,Breakdown,BD-00020,MC-003,CNC Lathe TL-03,CELL-01,SP-1002,Way wiper kit X/Z,Seal,Kit,2,2400,4800,TECH-01,Arun Kumar,2026-05-28,Urgent,Issued,2026-05-30,Maintenance Head,2026-06-01,21,A-01-05,
REQ-00057,Breakdown,BD-00024,MC-004,Bar Feeder BF-01,CELL-01,SP-1086,Gear reducer 1:30,Mechanical,No,2,24600,49200,TECH-03,Mohammed Rafi,2026-05-11,Urgent,Issued,2026-05-11,Maintenance Head,2026-05-11,45,E-03-05,
REQ-00058,Breakdown,BD-00025,MC-005,Chip Conveyor CC-01,CELL-01,SP-1086,Gear reducer 1:30,Mechanical,No,1,24600,24600,TECH-03,Mohammed Rafi,2025-06-11,Emergency,Issued,2025-06-12,Maintenance Head,2025-06-16,45,E-03-05,
REQ-00059,Breakdown,BD-00030,MC-006,CNC Lathe TL-04,CELL-02,SP-1001,Spindle bearing set 7014,Bearing,Set,2,18500,37000,TECH-02,Suresh Babu,2025-11-06,Urgent,Pending Approval,,,,45,A-01-03,
REQ-00060,Breakdown,BD-00034,MC-007,CNC Lathe TL-05,CELL-02,SP-1002,Way wiper kit X/Z,Seal,Kit,2,2400,4800,TECH-01,Arun Kumar,2024-10-07,Emergency,Issued,2024-10-10,Maintenance Head,2024-10-13,21,A-01-05,
REQ-00061,Breakdown,BD-00039,MC-008,VMC MC-01,CELL-02,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-01,Arun Kumar,2025-01-03,Urgent,Issued,2025-01-05,Maintenance Head,2025-01-09,7,E-04-01,
REQ-00062,Breakdown,BD-00041,MC-008,VMC MC-01,CELL-02,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-03,Mohammed Rafi,2026-02-11,Urgent,Issued,2026-02-14,Maintenance Head,2026-02-16,7,E-04-01,
REQ-00063,Breakdown,BD-00046,MC-009,VMC MC-02,CELL-02,SP-1010,ATC cam follower,Mechanical,No,2,5400,10800,TECH-03,Mohammed Rafi,2024-12-17,Urgent,Issued,2024-12-20,Maintenance Head,2024-12-22,28,A-03-06,
REQ-00064,Breakdown,BD-00047,MC-009,VMC MC-02,CELL-02,SP-1010,ATC cam follower,Mechanical,No,1,5400,5400,TECH-03,Mohammed Rafi,2025-02-19,Urgent,Pending Approval,,,,28,A-03-06,
REQ-00065,Breakdown,BD-00052,MC-010,Gear Hobber GH-01,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-01,Arun Kumar,2025-06-16,Emergency,Issued,2025-06-18,Maintenance Head,2025-06-20,7,E-04-01,
REQ-00066,Breakdown,BD-00053,MC-010,Gear Hobber GH-01,CELL-03,SP-1020,Hob spindle bearing,Bearing,No,2,22400,44800,TECH-01,Arun Kumar,2026-05-21,Urgent,Issued,2026-05-24,Maintenance Head,2026-05-25,50,A-01-09,
REQ-00067,Breakdown,BD-00054,MC-010,Gear Hobber GH-01,CELL-03,SP-1022,Timing belt HTD 8M,Belt,No,1,3600,3600,TECH-01,Arun Kumar,2026-06-22,Emergency,Issued,2026-06-24,Maintenance Head,2026-06-24,18,A-04-02,
REQ-00068,Breakdown,BD-00061,MC-011,Gear Hobber GH-02,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-02,Suresh Babu,2025-11-28,Urgent,Issued,2025-11-29,Maintenance Head,2025-12-04,7,E-04-01,
REQ-00069,Breakdown,BD-00067,MC-012,Gear Shaver GS-01,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-01,Arun Kumar,2024-09-05,Urgent,Pending Approval,,,,7,E-04-01,
REQ-00070,Breakdown,BD-00068,MC-012,Gear Shaver GS-01,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-02,Suresh Babu,2025-07-16,Emergency,Approved,2025-07-17,Maintenance Head,,7,E-04-01,
REQ-00071,Breakdown,BD-00069,MC-013,Deburring Unit DB-01,CELL-03,SP-1085,Drive motor 2.2 kW,Motor,No,2,18900,37800,TECH-02,Suresh Babu,2024-11-26,Urgent,Issued,2024-11-29,Maintenance Head,2024-12-02,32,E-03-03,
REQ-00072,Breakdown,BD-00071,MC-013,Deburring Unit DB-01,CELL-03,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-03,Mohammed Rafi,2025-04-07,Urgent,Issued,2025-04-10,Maintenance Head,2025-04-13,7,E-04-01,
REQ-00073,Breakdown,BD-00072,MC-014,Sealed Quench SQ-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-02,Suresh Babu,2024-09-16,Urgent,Issued,2024-09-18,Maintenance Head,2024-09-21,7,E-04-01,
REQ-00074,Breakdown,BD-00074,MC-014,Sealed Quench SQ-01,CELL-04,SP-1030,Radiant tube 150 mm,Furnace,No,2,74000,148000,TECH-05,Prakash R,2025-01-03,Urgent,Issued,2025-01-03,Maintenance Head,2025-01-04,75,B-02-01,
REQ-00075,Breakdown,BD-00075,MC-014,Sealed Quench SQ-01,CELL-04,SP-1034,Carbon potential probe,Instrument,No,2,58000,116000,TECH-02,Suresh Babu,2025-09-19,Urgent,Purchase Raised,2025-09-19,Maintenance Head,,90,B-02-09,
REQ-00076,Breakdown,BD-00076,MC-014,Sealed Quench SQ-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-06,Deepak Nair,2025-10-09,Urgent,Purchase Raised,2025-10-09,Maintenance Head,,7,E-04-01,
REQ-00077,Breakdown,BD-00079,MC-014,Sealed Quench SQ-01,CELL-04,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-02,Suresh Babu,2026-05-18,Urgent,Issued,2026-05-18,Maintenance Head,2026-05-21,14,B-02-05,
REQ-00078,Breakdown,BD-00083,MC-015,Sealed Quench SQ-02,CELL-04,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-05,Prakash R,2025-05-28,Emergency,Issued,2025-05-28,Maintenance Head,2025-06-02,14,B-02-05,
REQ-00079,Breakdown,BD-00084,MC-015,Sealed Quench SQ-02,CELL-04,SP-1033,Quench agitator seal kit,Seal,Kit,2,6800,13600,TECH-02,Suresh Babu,2025-06-30,Emergency,Issued,2025-06-30,Maintenance Head,2025-07-05,35,B-02-07,
REQ-00080,Breakdown,BD-00085,MC-015,Sealed Quench SQ-02,CELL-04,SP-1034,Carbon potential probe,Instrument,No,2,58000,116000,TECH-06,Deepak Nair,2026-01-23,Emergency,Issued,2026-01-25,Maintenance Head,2026-01-27,90,B-02-09,
REQ-00081,Breakdown,BD-00088,MC-015,Sealed Quench SQ-02,CELL-04,SP-1034,Carbon potential probe,Instrument,No,1,58000,58000,TECH-06,Deepak Nair,2026-05-01,Urgent,Issued,2026-05-02,Maintenance Head,2026-05-07,90,B-02-09,
REQ-00082,Breakdown,BD-00089,MC-015,Sealed Quench SQ-02,CELL-04,SP-1034,Carbon potential probe,Instrument,No,1,58000,58000,TECH-02,Suresh Babu,2026-07-17,Urgent,Purchase Raised,2026-07-19,Maintenance Head,,90,B-02-09,
REQ-00083,Breakdown,BD-00094,MC-016,Tempering Furnace TF-01,CELL-04,SP-1035,Burner ignition electrode,Furnace,No,1,5600,5600,TECH-06,Deepak Nair,2025-08-28,Urgent,Pending Approval,,,,30,B-03-01,
REQ-00084,Breakdown,BD-00101,MC-017,Quench Oil Chiller CH-01,CELL-04,SP-1083,Chiller expansion valve,Chiller,No,1,13400,13400,TECH-02,Suresh Babu,2024-11-07,Urgent,Issued,2024-11-09,Maintenance Head,2024-11-09,40,E-02-01,
REQ-00085,Breakdown,BD-00102,MC-017,Quench Oil Chiller CH-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-06,Deepak Nair,2025-07-30,Emergency,Issued,2025-08-02,Maintenance Head,2025-08-07,7,E-04-01,
REQ-00086,Breakdown,BD-00105,MC-017,Quench Oil Chiller CH-01,CELL-04,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-05,Prakash R,2026-07-06,Emergency,Issued,2026-07-09,Maintenance Head,2026-07-12,7,E-04-01,
REQ-00087,Breakdown,BD-00112,MC-018,HT Compressor AC-01,CELL-04,SP-1082,Compressor oil 20 L,Lubricant,Can,1,7200,7200,TECH-06,Deepak Nair,2026-03-05,Emergency,Purchase Raised,2026-03-08,Maintenance Head,,12,E-01-05,
REQ-00088,Breakdown,BD-00116,MC-019,Assembly Stn AS-01,CELL-05,SP-1042,Fixture clamp cylinder,Pneumatic,No,2,7400,14800,TECH-10,Naveen Raj,2024-12-09,Emergency,Pending Approval,,,,24,C-01-05,
REQ-00089,Breakdown,BD-00118,MC-019,Assembly Stn AS-01,CELL-05,SP-1041,Poka-yoke proximity sensor,Electrical,No,2,2200,4400,TECH-10,Naveen Raj,2025-08-04,Urgent,Approved,2025-08-05,Maintenance Head,,12,C-01-03,
REQ-00090,Breakdown,BD-00123,MC-020,Assembly Stn AS-02,CELL-05,SP-1041,Poka-yoke proximity sensor,Electrical,No,2,2200,4400,TECH-10,Naveen Raj,2025-08-12,Urgent,Issued,2025-08-12,Maintenance Head,2025-08-17,12,C-01-03,
REQ-00091,Breakdown,BD-00127,MC-021,Assembly Stn AS-03,CELL-05,SP-1042,Fixture clamp cylinder,Pneumatic,No,1,7400,7400,TECH-10,Naveen Raj,2026-04-17,Urgent,Issued,2026-04-19,Maintenance Head,2026-04-21,24,C-01-05,
REQ-00092,Breakdown,BD-00128,MC-021,Assembly Stn AS-03,CELL-05,SP-1041,Poka-yoke proximity sensor,Electrical,No,1,2200,2200,TECH-07,Ramesh Chandran,2026-06-08,Urgent,Purchase Raised,2026-06-08,Maintenance Head,,12,C-01-03,
REQ-00093,Breakdown,BD-00134,MC-022,Leak Test Rig LT-01,CELL-05,SP-1043,Leak test seal head,Seal,No,1,11200,11200,TECH-07,Ramesh Chandran,2025-10-16,Emergency,Issued,2025-10-17,Maintenance Head,2025-10-17,38,C-01-07,
REQ-00094,Breakdown,BD-00135,MC-022,Leak Test Rig LT-01,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-07,Ramesh Chandran,2025-12-23,Urgent,Pending Approval,,,,7,E-04-01,
REQ-00095,Breakdown,BD-00138,MC-022,Leak Test Rig LT-01,CELL-05,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-10,Naveen Raj,2026-08-03,Urgent,Pending Approval,,,,7,E-04-01,
REQ-00096,Breakdown,BD-00140,MC-024,Paint Booth PB-01,CELL-06,SP-1052,Paint circulation pump seal,Seal,Kit,2,4600,9200,TECH-09,Sathish Kumar,2024-10-24,Urgent,Purchase Raised,2024-10-26,Maintenance Head,,26,C-02-05,
REQ-00097,Breakdown,BD-00149,MC-025,Curing Oven CO-01,CELL-06,SP-1053,Oven conveyor chain 3 mtr,Chain,Mtr,2,2800,5600,TECH-09,Sathish Kumar,2025-03-24,Emergency,Issued,2025-03-25,Maintenance Head,2025-03-30,20,C-02-07,
REQ-00098,Breakdown,BD-00155,MC-026,Paint Chiller CH-02,CELL-06,SP-1083,Chiller expansion valve,Chiller,No,1,13400,13400,TECH-07,Ramesh Chandran,2024-10-29,Urgent,Purchase Raised,2024-10-31,Maintenance Head,,40,E-02-01,
REQ-00099,Breakdown,BD-00163,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1064,Torch cable assembly 3 mtr,Cable,No,1,16800,16800,TECH-09,Sathish Kumar,2024-11-12,Emergency,Approved,2024-11-15,Maintenance Head,,35,D-01-09,
REQ-00100,Breakdown,BD-00164,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-08,Karthik V,2025-01-27,Emergency,Issued,2025-01-27,Maintenance Head,2025-02-01,7,E-04-01,
REQ-00101,Breakdown,BD-00165,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1064,Torch cable assembly 3 mtr,Cable,No,2,16800,33600,TECH-08,Karthik V,2025-03-20,Urgent,Approved,2025-03-23,Maintenance Head,,35,D-01-09,
REQ-00102,Breakdown,BD-00166,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,2,620,1240,TECH-08,Karthik V,2025-05-28,Emergency,Pending Approval,,,,7,E-04-01,
REQ-00103,Breakdown,BD-00167,MC-028,Robot Weld Cell RW-02,CELL-07,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,1,620,620,TECH-09,Sathish Kumar,2025-08-08,Emergency,Pending Approval,,,,7,E-04-01,
